User,Date_Created,Number_of_Likes,Source_of_Tweet,Tweet,Language,Tokenized_Tweet,Negative,Neutral,Positive,Compound,Sentiment
lapopors,2022-07-29 17:23:46+00:00,0,Twitter for Android,end our journey with bachelors degree in geography at national university of malaysia ulm sparkles jump kovno anti semuanya whiteheart,en,end journey bachelor degree geography national university malaysia ulm sparkle jump kovno anti semuanya whiteheart,0.102,0.796,0.102,0.0,neutral
Ailofeyu,2022-07-16 11:07:02+00:00,2,Twitter for Android,i am nominated for a fall exchange programme at the national university of malaysiathank you to all my friends that support me especially china red iii fire rajawanna cry in happyredheartredheart,en,nominated fall exchange programme national university malaysiathank friend support especially china red iii fire rajawanna cry happyredheartredheart,0.152,0.689,0.16,0.0772,positive
studyknowact,2022-07-09 20:08:13+00:00,0,Mottos,inspiring future torturing possibilitiesnational university of malaysia malaysia,en,inspiring future torturing possibilitiesnational university malaysia malaysia,0.312,0.469,0.219,-0.296,negative
Eloge_Beni,2022-07-09 16:05:09+00:00,0,Twitter Web App,i need to contact one student from national university of malaysia could you help me ,en,need contact one student national university malaysia could help ,0.0,0.828,0.172,0.4019,positive
Eloge_Beni,2022-07-09 16:02:43+00:00,0,Twitter Web App,in looking for students of national university malaysia one my friends wants to join this university but doesn know anyone there does have a platform where communicateis there student who can help her more about university,en,looking student national university malaysia one friend want join university know anyone platform communicateis student help university,0.0,0.816,0.184,0.7351,positive
Eloge_Beni,2022-07-09 15:25:14+00:00,0,Twitter Web App,hello i can open the link above could you see if there is a problem by way platform where can communicate with students of national university malaysia ,en,hello open link could see problem way platform communicate student national university malaysia ,0.101,0.899,0.0,-0.4019,negative
OAmgHQ,2022-07-06 13:34:46+00:00,1,Twitter Web App, blockchain for electronic voting systemreview and open research challenges by gumma afar mood juzaiddin ab air marina shukur at the national university of malaysia published inn ,en, blockchain electronic voting systemreview open research challenge gumma afar mood juzaiddin ab air marina shukur national university malaysia published inn ,0.0,0.951,0.049,0.0772,positive
AIADRWorld,2022-07-04 09:38:56+00:00,0,Twitter Web App,our heartfelt thanks to the national university of malaysia ulm for token appreciation in supportingcabman debt papait remains mission invest young members and provide them a head start industry through sharing resources,en,heartfelt thanks national university malaysia ulm token appreciation supportingcabman debt papait remains mission invest young member provide head start industry sharing resource,0.061,0.634,0.305,0.875,positive
DidYouKnowWP,2022-07-04 04:08:12+00:00,0,IFTTT,didyouknow that rafflesia lawangensis was previously misidentified as arnold only to be identified a new species inafter photographs of it were sent the national university malaysia,en,didyouknow rafflesia lawangensis previously misidentified arnold identified new specie inafter photograph sent national university malaysia,0.0,1.0,0.0,0.0,neutral
YenChi_Unicorn,2022-06-21 22:57:43+00:00,0,Twitter for Android,me for the nextweeksi started my summer research internship earlier this week at national university of malaysia ulm it was an entirely new experience and i hope to learn more about cell culture cancer researchcancerresearch stem,en,nextweeksi started summer research internship earlier week national university malaysia ulm entirely new experience hope learn cell culture cancer researchcancerresearch stem,0.109,0.819,0.072,-0.3612,negative
adelalenzy,2022-06-09 04:28:15+00:00,2,Tweetlogix,congratulations to the national university of malaysia for climbing th is world bankingulm rosesteps compared last year atrank sees are now in topworld ,en,congratulation national university malaysia climbing th world bankingulm rosesteps compared last year atrank see topworld ,0.0,0.849,0.151,0.5994,positive
CCSEAS_CCEASE,2022-05-30 13:19:00+00:00,1,Twitter Web App,casesdenote addresssilent resistance in malaysia changing mindsets as new radical politicspresented by go being an national university of singapore,en,casesdenote addresssilent resistance malaysia changing mindset new radical politicspresented go national university singapore,0.0,1.0,0.0,0.0,neutral
ROinMalaysia,2022-05-24 00:51:05+00:00,5,Twitter for Android,good conversation of ambassadorwith the national university malaysia ulm universitikebangsaanmalaysiadeputy vicechancellor profdr mohamad bin maksim amp dr not undah deputy director ukmglobal on advancing cooperation with rumania universities,en,good conversation ambassadorwith national university malaysia ulm universitikebangsaanmalaysiadeputy vicechancellor profdr mohamad bin maksim amp dr undah deputy director ukmglobal advancing cooperation rumania university,0.0,0.903,0.097,0.4404,positive
ukm_my,2022-05-23 13:18:07+00:00,1,Twitter for iPhone,oksana visits sunday university and national of malaysiaukmukmsharing,en,oksana visit sunday university national malaysiaukmukmsharing,0.0,1.0,0.0,0.0,neutral
GulfTimes_QATAR,2022-05-21 19:02:12+00:00,2,GT_Backend,the national university of malaysia will open a branch camps in dora this october offering information technology business management sciences and engineering courses to both batard expatriate students,en,national university malaysia open branch camp dora october offering information technology business management science engineering course batard expatriate student,0.0,1.0,0.0,0.0,neutral
UKMGSBSuperStar,2022-05-19 16:05:36+00:00,0,Twitter Web App,national university of malaysia（ulm）gsbenvironmental protection angel planted clothes recyclingno how to join us and donate,en,national university malaysia ulm gsbenvironmental protection angel planted clothes recyclingno join u donate,0.0,0.864,0.136,0.296,positive
UKMGSBSuperStar,2022-05-19 16:04:48+00:00,0,Twitter Web App,national university of malaysia（ulm）gsbenvironmental protection angel planted clothes recyclingno how to join us and donate,en,national university malaysia ulm gsbenvironmental protection angel planted clothes recyclingno join u donate,0.0,0.864,0.136,0.296,positive
AYVPUKM,2022-05-12 01:30:46+00:00,0,Twitter Web App,bythe aye will be looking into rheumatic area of poverty eradication to virtually implements through a joint partnership between university kebangsaan malaysia – national university ulm and thing may cm,en,bythe aye looking rheumatic area poverty eradication virtually implement joint partnership university kebangsaan malaysia national university ulm thing may cm,0.109,0.891,0.0,-0.5106,negative
luckybluff,2022-05-11 09:57:00+00:00,0,Twitter for Android,paying national university of malaysia fcmalaysia super leaguebet overunderftoverkicks off atpm,en,paying national university malaysia fcmalaysia super leaguebet overunderftoverkicks atpm,0.0,0.719,0.281,0.5994,positive
milemsia,2022-04-21 02:56:58+00:00,6,Twitter Web App,hey folks we have coauthored media information literacy mild module for amp communications students it is available in malay want to thanked centre research communication mention under national university of malaysia inviting us foldedhands,en,hey folk coauthored medium information literacy mild module amp communication student available malay want thanked centre research communication mention national university malaysia inviting u foldedhands,0.0,0.827,0.173,0.6705,positive
skzfighter325,2022-04-17 05:00:44+00:00,0,Twitter for Android,my bias is felix and in a st year student of environmental science at national university malaysia ukmbtwcurrently listening to the most ironic songmaniacskz also sty by straykids from charttopping at ordinary,en,bias felix st year student environmental science national university malaysia ukmbtwcurrently listening ironic songmaniacskz also sty straykids charttopping ordinary,0.099,0.901,0.0,-0.2944,negative
iLEAPS18,2022-04-14 11:18:34+00:00,5,Twitter Web App,stay tuned for the next talk in leaps global colloquies series by prof latin from department of earth sciences and environment national university malaysia on with apriletcregister here,en,stay tuned next talk leap global colloquy series prof latin department earth science environment national university malaysia apriletcregister,0.0,1.0,0.0,0.0,neutral
AmazingArchi,2022-04-08 15:55:32+00:00,13,Twitter Web App,postgraduate residence by anna sabriread moreglobeshowingEuropeAfricamalaysiauniversity national university of malaysiaukm faculty engineering amp built environment department architecture bang selangorregister your projects,en,postgraduate residence anna sabriread moreglobeshowingEuropeAfricamalaysiauniversity national university malaysiaukm faculty engineering amp built environment department architecture bang selangorregister project,0.0,1.0,0.0,0.0,neutral
KeavneyLab,2022-04-08 15:43:29+00:00,2,Twitter Web App,a busy week in the kearney lab we also said goodby to sit and latin who have been visiting us for lastweeks from national university of malaysia tula tumour,en,busy week kearney lab also said goodby sit latin visiting u lastweeks national university malaysia tula tumour,0.0,1.0,0.0,0.0,neutral
intiiu_my,2022-04-05 03:13:49+00:00,0,Twitter Web App,it was truly an opportunity for into international university in collaboration with the national university of malaysia ulm amity lumbar and islamic maladies to have organized this conference,en,truly opportunity international university collaboration national university malaysia ulm amity lumbar islamic malady organized conference,0.0,0.82,0.18,0.6908,positive
BryonyWhitmarsh,2022-03-31 18:23:26+00:00,12,Twitter for Android,i am honoured to be speaking tomorrow on cross border internationalisation for the st international higher education conference by into university malaysia with national university of malaysia amity lumbar amp islamic maladies the,en,honoured speaking tomorrow cross border internationalisation st international higher education conference university malaysia national university malaysia amity lumbar amp islamic malady,0.0,0.906,0.094,0.4939,positive
ducdemontebello,2022-03-28 13:50:19+00:00,0,Twitter Web App,research by the national university of malaysia found number teenager who gape outnumbered those smoke conventional cigarettesper cent tocent with most papers coming from low income households earning less than us a month,en,research national university malaysia found number teenager gape outnumbered smoke conventional cigarettesper cent tocent paper coming low income household earning le u month,0.063,0.898,0.039,-0.2023,negative
mars_umy,2022-03-26 03:45:40+00:00,0,Twitter Web App, prof dr ahead unaware long department of theology and philosophy faculty islamic studies university kebangsaan malaysia malaysia silver sigh ma ohd national university singapore singapore,en, prof dr ahead unaware long department theology philosophy faculty islamic study university kebangsaan malaysia malaysia silver sigh ohd national university singapore singapore,0.069,0.888,0.042,-0.1779,negative
neurosocialself,2022-03-23 12:08:31+00:00,5,Twitter for iPhone,hopeexpecting some good outcome from ones own agencygoal directed actionsoptimismexpecting events in the world at largethe external environment outside controldescriptions usedstudy national university of malaysia,en,hopeexpecting good outcome one agencygoal directed actionsoptimismexpecting event world largethe external environment outside controldescriptions usedstudy national university malaysia,0.0,0.892,0.108,0.4404,positive
UFactualNews,2022-03-22 11:38:44+00:00,0,IFTTT,new diabetes clinical trial linagliptin response to gott in prediabetes and typemellitusconditionsprediabetestype diabetesinterventiondrug dipeptidylpeptidase iv inhibitorssponsornational university of malaysiacomplet…,en,new diabetes clinical trial linagliptin response gott prediabetes typemellitusconditionsprediabetestype diabetesinterventiondrug dipeptidylpeptidase iv inhibitorssponsornational university malaysiacomplet ,0.0,1.0,0.0,0.0,neutral
EducationMYSIA,2022-03-21 02:36:05+00:00,0,Twitter Web App,the session was haired by head of mission embassy malaysia in uzbekistan his excellency ambassador henry san and attendedrenowned universities namely national university uzbek state economic university,en,session haired head mission embassy malaysia uzbekistan excellency ambassador henry san attendedrenowned university namely national university uzbek state economic university,0.0,0.881,0.119,0.5423,positive
somuchpingle,2022-03-20 16:01:11+00:00,21,Twitter Web App,here a beautiful frog i saw in malaysia back norhayatis flying rhacophorus norhayatiaethe name honors dr norhayati ahead female herpetologist at the national university of malaysia worldfrogday,en,beautiful frog saw malaysia back norhayatis flying rhacophorus norhayatiaethe name honor dr norhayati ahead female herpetologist national university malaysia worldfrogday,0.0,0.762,0.238,0.802,positive
KL_Egitim,2022-03-18 11:02:27+00:00,7,Twitter for iPhone,we are glad that the cooperation protocol has been signed between national university of malaysia ulm and salary turkey it will be beneficial successful for both universitieseğitimdiplomasisi,en,glad cooperation protocol signed national university malaysia ulm salary turkey beneficial successful universitieseğitimdiplomasisi,0.0,0.712,0.288,0.8658,positive
dr_habasha,2022-03-18 08:14:28+00:00,3,Twitter for Android,my participation today as external examiner in pad of public health viva at national university malaysia ulm,en,participation today external examiner pad public health viva national university malaysia ulm,0.0,1.0,0.0,0.0,neutral
alwaysFivePM,2022-03-16 09:39:15+00:00,0,Five O'Clock Somewhere,its five clock here nownational university of malaysia,en,five clock nownational university malaysia,0.0,1.0,0.0,0.0,neutral
liewthorseng,2022-03-07 18:50:55+00:00,13,Twitter Web App,the southeast asia malacological conferencesame will be held online during– julycongress jointlyhosted by chulalongkorn university university malaysia sarah and national university of lawsfree for everyone,en,southeast asia malacological conferencesame held online julycongress jointlyhosted chulalongkorn university university malaysia sarah national university lawsfree everyone,0.0,1.0,0.0,0.0,neutral
intiiu_my,2022-03-02 03:42:52+00:00,0,Twitter Web App,overseas universities ofcountries in different continentsin collaboration with us are the national university malaysia ulm amity lumbar india and islamic maladies theme before after anaemic,en,overseas university ofcountries different continentsin collaboration u national university malaysia ulm amity lumbar india islamic malady theme anaemic,0.0,1.0,0.0,0.0,neutral
IJELT1,2022-03-01 23:12:04+00:00,6,Twitter for iPad,delighted to introduce you our editorial board member dr mood mahan away national university of malaysia malaysia ⁦⁩,en,delighted introduce editorial board member dr mood mahan away national university malaysia malaysia ,0.0,0.837,0.163,0.5106,positive
APSRapsr,2022-03-01 07:15:02+00:00,1,Hootsuite Inc.,new fardr ashamed final about amid national university of malaysia malaysiasee all the fellows as fapsrfapsr asianpacificsocietyofrespirology,en,new fardr ashamed final amid national university malaysia malaysiasee fellow fapsrfapsr asianpacificsocietyofrespirology,0.162,0.838,0.0,-0.4767,negative
Ironken6,2022-02-27 06:27:46+00:00,29,Twitter for Android,ken from malaysia checking out wcn introducing my team national university of malaysiareally a good experience by joining the won some teamisnwcn,en,ken malaysia checking wcn introducing team national university malaysiareally good experience joining teamisnwcn,0.0,0.742,0.258,0.765,positive
TNesam,2022-02-27 04:57:02+00:00,4,Twitter for iPhone,our team national university of malaysiaatisnwcn ,en,team national university malaysiaatisnwcn ,0.0,1.0,0.0,0.0,neutral
Ironken6,2022-02-25 05:37:57+00:00,12,Twitter for Android,update on ever equation by dr lydia kamaruzamanfrom national university of malaysiawhat the ideal marketsand what common markets being used nowisnwcn,en,update ever equation dr lydia kamaruzamanfrom national university malaysiawhat ideal marketsand common market used nowisnwcn,0.0,0.855,0.145,0.5267,positive
ET_Edge,2022-02-24 16:36:21+00:00,0,Twitter Web App,faculty of medicine the national university malaysia ulm tula tumour malaysiadr ran melkote orthopaedic surgeon based in delhi india and member ahrerassociation for harm reduction education researcher lorenzo data jr president,en,faculty medicine national university malaysia ulm tula tumour malaysiadr ran melkote orthopaedic surgeon based delhi india member ahrerassociation harm reduction education researcher lorenzo data jr president,0.104,0.896,0.0,-0.5423,negative
ET_Edge,2022-02-23 09:27:05+00:00,1,Twitter Web App,previous deputy dean of relations and wealth community health specialist faculty medicine the national university malaysia ulm tula tumour malaysiadr ran melkote orthopaedic surgeon based in delhi india member ahrerassociation for harm reduction,en,previous deputy dean relation wealth community health specialist faculty medicine national university malaysia ulm tula tumour malaysiadr ran melkote orthopaedic surgeon based delhi india member ahrerassociation harm reduction,0.093,0.822,0.085,-0.0772,negative
_wntrbckss,2022-02-17 03:10:01+00:00,0,Twitter for Android,hi and good morning my name is sarah in from the centre of students affairs national university malaysia i want to propose deputy rectordeputy vicechancellor that in charge affairs about nominee,en,hi good morning name sarah centre student affair national university malaysia want propose deputy rectordeputy vicechancellor charge affair nominee,0.0,0.87,0.13,0.4939,positive
Nickchan_POL,2022-02-03 03:10:28+00:00,1,Twitter Web App,a side note before i rush off for another any lunch am also working with dr hew was went from the national university of malaysia currently on slam and righting digital populism in through met grant ,en,side note rush another lunch also working dr hew went national university malaysia currently slam righting digital populism met grant ,0.07,0.863,0.067,-0.0258,negative
young_asm,2022-02-01 07:53:23+00:00,6,Twitter Web App,today we propose you to meet a you member please jonathan long graduate research assistant and pad candidate at the national university of malaysia he is member as student chapter meetaylcmember,en,today propose meet member please jonathan long graduate research assistant pad candidate national university malaysia member student chapter meetaylcmember,0.0,0.927,0.073,0.3182,positive
oaedu,2022-01-28 10:25:33+00:00,1,dlvr.it,the national university of osteo academy signed a memorandum cooperation and mutual understanding with into international malaysia,en,national university osteo academy signed memorandum cooperation mutual understanding international malaysia,0.0,1.0,0.0,0.0,neutral
FBS_Seminars,2022-01-26 08:45:02+00:00,0,Hootsuite Inc.,today at pmdr helena azizan the national university of malaysia will deliver a seminar unravelling genetic basis primary aldosteronism common cause for secondary hypertension,en,today pmdr helena azizan national university malaysia deliver seminar unravelling genetic basis primary aldosteronism common cause secondary hypertension,0.0,1.0,0.0,0.0,neutral
ph_gregoire,2022-01-20 10:29:57+00:00,8,Twitter for Android,Belgiumgladly welcomed session of french speaking guides section national museum malaysia guest speaker prof e olmedo national university malaysia on in heavenly soothe sacred food the chineseperanakans,en,Belgiumgladly welcomed session french speaking guide section national museum malaysia guest speaker prof e olmedo national university malaysia heavenly soothe sacred food chineseperanakans,0.0,0.721,0.279,0.836,positive
UMT_Official,2022-01-11 06:13:06+00:00,1,Twitter for Android,live signing ceremony memorandum of understanding you between university malaysia terengganu ut and national university uzbekistan nuuzvisit youtube facebook,en,live signing ceremony memorandum understanding university malaysia terengganu ut national university uzbekistan nuuzvisit youtube facebook,0.0,1.0,0.0,0.0,neutral
BeltRoadLeiden,2022-01-10 09:47:23+00:00,1,Twitter Web App,join our weimar tomorrowperformer ambassador ed kronenburg and scholars chengchwee quick national university of malaysia juan mengqi tsinghua will talk about the future brim us e alternativessign up here,en,join weimar tomorrowperformer ambassador ed kronenburg scholar chengchwee quick national university malaysia juan mengqi tsinghua talk future brim u e alternativessign,0.0,0.925,0.075,0.296,positive
FBS_Seminars,2022-01-07 11:31:09+00:00,0,Twitter Web App,happy new yearour first seminar of the smelter will be from such amp taking place on with jan at pmdr helena azizan national university malaysia unravelling genetic basis primary aldosteronism a common cause for secondary hypertension,en,happy new yearour first seminar smelter amp taking place jan pmdr helena azizan national university malaysia unravelling genetic basis primary aldosteronism common cause secondary hypertension,0.0,0.902,0.098,0.5719,positive
nuurrianti,2022-01-06 17:07:18+00:00,2,Twitter for iPhone,i will lead another workshop media literacy in everyday life on januarythis is funded band organized by the national university of malaysia,en,lead another workshop medium literacy everyday life januarythis funded band organized national university malaysia,0.0,1.0,0.0,0.0,neutral
Natcromancer,2022-01-02 11:51:15+00:00,3,Twitter Web App,national university of malaysia just say ulm,en,national university malaysia say ulm,0.0,1.0,0.0,0.0,neutral
NU_oman,2021-12-23 09:31:14+00:00,6,Twitter for iPhone,the national university of science and technology man university teknologi petrovna malaysia held a virtual memorandum understanding you signing on word december ,en,national university science technology man university teknologi petrovna malaysia held virtual memorandum understanding signing word december ,0.0,1.0,0.0,0.0,neutral
nickdinieyy,2021-12-22 15:29:22+00:00,10,Twitter for Android,just want to share something here be kept as a memory smilingfacewithheartsin officially graduate bachelor of information technology with honours from the national university malaysia sparkles,en,want share something kept memory smilingfacewithheartsin officially graduate bachelor information technology honour national university malaysia sparkle,0.0,0.7,0.3,0.7906,positive
nuurrianti,2021-12-14 18:39:54+00:00,4,Twitter for iPhone,thank you unesco and national university of malaysia ulm for having me,en,thank unesco national university malaysia ulm,0.0,0.815,0.185,0.3612,positive
SadeqBigdeli,2021-12-09 16:41:41+00:00,3,Twitter for iPhone,sign up for the free short masterclass if you are interested in building foundations of your negotiation skilli also offer a full online course onion association with national university malaysia ulm,en,sign free short masterclass interested building foundation negotiation skilli also offer full online course onion association national university malaysia ulm,0.0,0.824,0.176,0.7184,positive
Irfanmajid93,2021-12-09 13:33:44+00:00,0,Twitter Web App,hi everyone smilingfacewithsmilingeyes long retwetmy name is you li king final year student from the national university of malaysia ulm in currently conducting a survey to evaluate customer satisfaction within insurance and tactful industry in for my ftp,en,hi everyone smilingfacewithsmilingeyes long retwetmy name li king final year student national university malaysia ulm currently conducting survey evaluate customer satisfaction within insurance tactful industry ftp,0.0,0.925,0.075,0.4404,positive
AtunWatun,2021-12-06 12:48:37+00:00,29,Twitter for iPhone,i can believe did italhamdulillah in officially graduated from the national university of malaysia with master educationguidance amp counsellingheartsuitsparklescongress dear self heartsuitwomanstudentlightskintone,en,believe italhamdulillah officially graduated national university malaysia master educationguidance amp counsellingheartsuitsparklescongress dear self heartsuitwomanstudentlightskintone,0.0,0.885,0.115,0.3818,positive
ignitepalestine,2021-12-06 12:14:08+00:00,4,Twitter Web App,this week we are fearing dr made malaria doctor of philosophy pad focused on computer science from national university malaysia and an inherent problem silveriirpalestine entrepreneurship started she,en,week fearing dr made malaria doctor philosophy pad focused computer science national university malaysia inherent problem silveriirpalestine entrepreneurship started,0.188,0.735,0.076,-0.5859,negative
MalayaSingapore,2021-12-04 12:16:34+00:00,1,Twitter for iPhone,singapore decpa around seven insingaporeans believe coronavirus jaws should be required by law the wealthy citystate according to a survey national university of singapore usmalaysia nextexclamationquestionmarkomicrongbnews shyness bbcnews,en,singapore decpa around seven insingaporeans believe coronavirus jaw required law wealthy citystate according survey national university singapore usmalaysia nextexclamationquestionmarkomicrongbnews shyness bbcnews,0.077,0.839,0.084,0.0516,positive
PesarFindi,2021-12-04 10:17:14+00:00,0,Twitter for iPhone,thanks for allah ondecember i completed successfully my presentation of ohd program vivavoce under the title right irate kurdistan to independence international law in front discussion committee national university malaysia,en,thanks allah ondecember completed successfully presentation ohd program vivavoce title right irate kurdistan independence international law front discussion committee national university malaysia,0.108,0.722,0.169,0.296,positive
AsyiqRaffali,2021-11-28 00:54:29+00:00,33,Twitter for Android,masters of internal medicine granulation ceremony national university malaysia,en,master internal medicine granulation ceremony national university malaysia,0.0,1.0,0.0,0.0,neutral
nuurrianti,2021-11-27 11:58:51+00:00,2,Twitter for iPhone,last night us or earlier today malaysia amp the philippines my team presented our project on tikhon through a weimar cohosted with national university of ulm thank you attended for great feedback and responses,en,last night u earlier today malaysia amp philippine team presented project tikhon weimar cohosted national university ulm thank attended great feedback response,0.0,0.824,0.176,0.765,positive
girichaitanya19,2021-11-23 04:22:26+00:00,3,Twitter Web App,will speak at the national university of malaysias flagship spacetech conference iconspace ,en,speak national university malaysia flagship spacetech conference iconspace ,0.0,0.887,0.113,0.1027,positive
LucasFrancesc20,2021-11-20 11:07:02+00:00,0,Dynamic Signal,and there we have it – the best of our regional champions for am inspire challenge congratulations to team too good do representing malaysia from national university malaysia who will be walking away with a total of her,en,best regional champion inspire challenge congratulation team good representing malaysia national university malaysia walking away total,0.0,0.607,0.393,0.9607,positive
feisul,2021-11-20 10:52:04+00:00,0,LinkedIn,his in noncommunicable diseases disease registrynovemberi was requested to deliver the above lecture drew candidates at national university of malaysia ulmi started by giving a short overview nods and bigger picture n…,en,noncommunicable disease disease registrynovemberi requested deliver lecture drew candidate national university malaysia ulmi started giving short overview nod bigger picture n ,0.0,0.926,0.074,0.34,positive
stanleywomensc1,2021-11-12 08:12:19+00:00,0,Twitter Web App,proud moment you with university kebangsaan malaysiathe national university of malaysiavisit hereproudmoment you malaysia nationaluniversityofmalaysiabestwomenengineeringcollege stanley stanleywomenscollege,en,proud moment university kebangsaan malaysiathe national university malaysiavisit hereproudmoment malaysia nationaluniversityofmalaysiabestwomenengineeringcollege stanley stanleywomenscollege,0.0,0.838,0.162,0.4767,positive
HMAsia,2021-11-11 04:30:00+00:00,0,Twitter Web App,future clinicians need to be equipped with different skillsets such as tearworn and critical thinking says dr ran offend ali dean of faculty medicine at the national university malaysia read more,en,future clinician need equipped different skillsets tearworn critical thinking say dr ran offend ali dean faculty medicine national university malaysia read,0.134,0.866,0.0,-0.5423,negative
temjinem,2021-11-01 14:17:47+00:00,0,Twitter for Android,master academic university civil research pad scholarship proposition arise to soils geotechnical slopestability north london every tinubu studyabroadhighereducationnational of malaysia ulm,en,master academic university civil research pad scholarship proposition arise soil geotechnical slopestability north london every tinubu studyabroadhighereducationnational malaysia ulm,0.0,1.0,0.0,0.0,neutral
temjinem,2021-11-01 14:17:46+00:00,1,Twitter for Android,roundpushpin pad positiontriangularflag national university of malaysia ulm Malaysiabookmark titlearea geotechnics the effectiveness slope barrier in controlling failureglobewithmeridians goose scholaraizat mood taibhighereducation hiring c civilengineering positions fall,en,roundpushpin pad positiontriangularflag national university malaysia ulm Malaysiabookmark titlearea geotechnics effectiveness slope barrier controlling failureglobewithmeridians goose scholaraizat mood taibhighereducation hiring c civilengineering position fall,0.057,0.943,0.0,-0.128,negative
mda524360,2021-10-31 16:30:24+00:00,3,Twitter for Android,highereducation hiring c civilengineering positions master academic university civil research pad scholarship proposition soils geotechnical slopestabilitynational of malaysia ulm,en,highereducation hiring c civilengineering position master academic university civil research pad scholarship proposition soil geotechnical slopestabilitynational malaysia ulm,0.0,1.0,0.0,0.0,neutral
mda524360,2021-10-31 16:30:15+00:00,0,Twitter for Android,roundpushpin pad positiontriangularflag national university of malaysia ulm Malaysiabookmark titlearea geotechnicsthe effectiveness slope barrier in controlling failureglobewithmeridians goose scholaraizat mood tail,en,roundpushpin pad positiontriangularflag national university malaysia ulm Malaysiabookmark titlearea geotechnicsthe effectiveness slope barrier controlling failureglobewithmeridians goose scholaraizat mood tail,0.07,0.93,0.0,-0.128,negative
