User,Date_Created,Number_of_Likes,Source_of_Tweet,Tweet,Language,Tokenized_Tweet,Negative,Neutral,Positive,Compound,Sentiment
MWYRFR,2022-09-25 10:24:54+00:00,0,Instagram,dragenflytaylors university,en,dragenflytaylors university,0.0,1.0,0.0,0.0,neutral
mdkhas,2022-09-25 06:58:51+00:00,5,Twitter for iPhone,syukur alhamdulillah amp congratulations to air shauqi for granulating from taylor law school with a bachelor of laws ll honours granulation ceremony held today at university lake side ll proud moment dad and sum your shillings foldedhandsthumbsupsmilingfacewithsunglasses,en,syukur alhamdulillah amp congratulation air shauqi granulating taylor law school bachelor law honour granulation ceremony held today university lake side proud moment dad sum shilling foldedhandsthumbsupsmilingfacewithsunglasses,0.0,0.764,0.236,0.8807,positive
partimuda,2022-09-25 05:18:46+00:00,6,Twitter for Android,in collaboration with andwill be giving their thoughts on inflation and high cost of living this forumdatetimepmpmvenuelecture theatreat taylor university lakeside campuscome join us,en,collaboration andwill giving thought inflation high cost living forumdatetimepmpmvenuelecture theatreat taylor university lakeside campuscome join u,0.0,0.827,0.173,0.5574,positive
swieder13,2022-09-25 04:02:44+00:00,47,Twitter for iPhone,swiftness refreshing taylor tikhon page atam is a sociological study being conducted by harvard university,en,swiftness refreshing taylor tikhon page atam sociological study conducted harvard university,0.0,1.0,0.0,0.0,neutral
Alishifau,2022-09-25 03:58:35+00:00,2,Instagram,congratulationsredheartsmilingfacewithopenhandsfaceblowingakisstaylor university,en,congratulationsredheartsmilingfacewithopenhandsfaceblowingakisstaylor university,0.0,1.0,0.0,0.0,neutral
kec_cse,2022-09-24 13:54:10+00:00,1,Twitter Web App,happy to share that our key and taylor university of malaysia signed you,en,happy share key taylor university malaysia signed,0.0,0.651,0.349,0.7096,positive
MWYRFR,2022-09-24 12:23:52+00:00,0,Instagram,taylorsuniversitytaylors university,en,taylorsuniversitytaylors university,0.0,1.0,0.0,0.0,neutral
MWYRFR,2022-09-24 12:18:28+00:00,0,Instagram,architectertaylors university,en,architectertaylors university,0.0,1.0,0.0,0.0,neutral
IrlAmbMalaysia,2022-09-24 11:33:47+00:00,23,Twitter for iPhone,it was also a great pleasure to meet again with an sir dr ⁦⁩who is past pupil of sister end at the conviction ceremony taylor university visiblewomen,en,also great pleasure meet sir dr past pupil sister end conviction ceremony taylor university visiblewomen,0.0,0.755,0.245,0.8316,positive
IrlAmbMalaysia,2022-09-24 09:26:50+00:00,20,Twitter for iPhone,sister end has been a much loved member of our irish community in malaysia for many years her contribution to and leadership education tremendous so proud to attend the conviction ceremony at taylor university,en,sister end much loved member irish community malaysia many year contribution leadership education tremendous proud attend conviction ceremony taylor university,0.0,0.797,0.203,0.8356,positive
IrlEmbMalaysia,2022-09-24 08:55:17+00:00,14,Hootsuite Inc.,warmest congratulations to latin madura sister end ran upon her receipt of an contrary decorate in humanities from taylor university recognition distinguished contribution the field women education malaysia comhghairdeas ó throw left end,en,warmest congratulation latin madura sister end ran upon receipt contrary decorate humanity taylor university recognition distinguished contribution field woman education malaysia comhghairdeas ó throw left end,0.0,0.82,0.18,0.765,positive
alabama_cs,2022-09-23 17:08:36+00:00,1,Twitter Web App,calumny spotlighttaylor anderson serves as chief information security officer for the university of alabama through strong foundation curriculum and connections to practical work experience was computer science program helped shape taylor love technology,en,calumny spotlighttaylor anderson serf chief information security officer university alabama strong foundation curriculum connection practical work experience computer science program helped shape taylor love technology,0.0,0.752,0.248,0.872,positive
StormGroveFever,2022-09-23 16:36:19+00:00,4,Twitter Web App,mr harris won the teachers perfect attendance drawing so he picked taylor sports shirt this friday pink new york giants and university of mimi shirt which staff member will win next drawing,en,mr harris teacher perfect attendance drawing picked taylor sport shirt friday pink new york giant university mimi shirt staff member win next drawing,0.0,0.721,0.279,0.9042,positive
wildestlesbian,2022-09-23 13:44:49+00:00,2,Twitter for Android,i didn know there would be midnight maybe today so wake up at taylor version but had to early go class blame my university,en,know would midnight maybe today wake taylor version early go class blame university,0.124,0.876,0.0,-0.4767,negative
ConsultantsNpi,2022-09-22 05:41:08+00:00,3,Twitter Web App,graduationcapgraduationcapMalaysiaMalaysiaMalaysiagraduationcapgraduationcapstudy at taylor university malaysiaMalaysia with northpole consultant and kick start your educational career right today a wide range of highly employable undergrad postural degree programs exceptionally low suction fees for details contact,en,graduationcapgraduationcapMalaysiaMalaysiaMalaysiagraduationcapgraduationcapstudy taylor university malaysiaMalaysia northpole consultant kick start educational career right today wide range highly employable undergrad postural degree program exceptionally low suction fee detail contact,0.072,0.928,0.0,-0.3384,negative
PocketNewsMy,2022-09-21 07:53:02+00:00,0,Twitter Web App,tula tumour september miss plus world malaysia mown in partnership with taylor university will host its firstever femme lure fashion show fearing a variety of sustainability and readytowear evening gowns design onat,en,tula tumour september miss plus world malaysia mown partnership taylor university host firstever femme lure fashion show fearing variety sustainability readytowear evening gown design onat,0.155,0.845,0.0,-0.6486,negative
CRiT91920245,2022-09-21 05:32:40+00:00,0,Twitter Web App,the centre for research and innovation in tourism writ association with school of hospitality events taylor university is organizing a weimar on interesting topic experimental hospitality fundamentals design writing,en,centre research innovation tourism writ association school hospitality event taylor university organizing weimar interesting topic experimental hospitality fundamental design writing,0.0,0.831,0.169,0.6486,positive
CRiT91920245,2022-09-21 05:23:04+00:00,0,Twitter Web App,faculty of social sciences and leisure management film centre for research innovation in tourism writ taylor university will be organizing partpostgraduate colloquies – virtually fromnovember ,en,faculty social science leisure management film centre research innovation tourism writ taylor university organizing partpostgraduate colloquy virtually fromnovember ,0.0,0.898,0.102,0.3818,positive
idk1989s,2022-09-21 03:52:38+00:00,2,Twitter for iPhone,the original sweet compared gage and by specify listeners which is a streaming merit ll… taylor artistic music craft enough to get her where she is we have olympic athletes world politicians to shows universities others being moved by,en,original sweet compared gage specify listener streaming merit taylor artistic music craft enough get olympic athlete world politician show university others moved,0.0,0.812,0.188,0.7964,positive
swifferupdates,2022-09-20 16:12:07+00:00,890,Twitter for iPhone,womanstudentmediumlightskintone a new course called s literary legacy taylor version will be offered at queens university ottawathe class seeks to peer past the glamour of pop star forhours each week dissecting prowess one today biggest cerebritis,en,womanstudentmediumlightskintone new course called literary legacy taylor version offered queen university ottawathe class seek peer past glamour pop star forhours week dissecting prowess one today biggest cerebritis,0.0,0.907,0.093,0.5267,positive
cbcbooks,2022-09-20 15:33:00+00:00,585,TweetDeck,a new course called taylor swift literary legacy taylor version will be offered at queens university taught by pad candidate began hurry the class dissect lyric and prowess of pop star,en,new course called taylor swift literary legacy taylor version offered queen university taught pad candidate began hurry class dissect lyric prowess pop star,0.0,0.942,0.058,0.2023,positive
previnsinghe,2022-09-20 09:05:58+00:00,1,LinkedIn,had a great time with the postgraduate students at taylor university school of hospitality tourism amp eventsthanks for having me rohendran hellish and they archerover looking forward to engaging morehospitality post…,en,great time postgraduate student taylor university school hospitality tourism amp eventsthanks rohendran hellish archerover looking forward engaging morehospitality post ,0.111,0.716,0.172,0.3182,positive
raafikaziz,2022-09-19 13:56:00+00:00,14,Twitter for iPhone,day lamp take shoot on conviction day and first time at taylor university ni for ryazan convictions by yours truly,en,day lamp take shoot conviction day first time taylor university ni ryazan conviction truly,0.103,0.773,0.124,0.128,positive
staronline,2022-09-19 07:08:35+00:00,1,Twitter Web App,taylor online learning programme are designed to afford students the flexibility of studying daytime anywhere and at their own pacebrought you by university,en,taylor online learning programme designed afford student flexibility studying daytime anywhere pacebrought university,0.0,0.902,0.098,0.34,positive
piperjhansen,2022-09-17 17:50:54+00:00,5,Twitter Web App,dared taylor visit at the start of month was not first time college republicans united has invited figures like him to camps and been condemned by studentsreports important history club university response,en,dared taylor visit start month first time college republican united invited figure like camp condemned studentsreports important history club university response,0.076,0.737,0.187,0.4939,positive
IChemEPOPSIG,2022-09-17 13:21:04+00:00,1,Twitter Web App,● no was run faculty of innovation and technology taylor university malaysiapaperpotential glycerin pitch up in mixed culture polyhydroxyalkanoate ha production component characterizations organic loading rate optimizationn,en, run faculty innovation technology taylor university malaysiapaperpotential glycerin pitch mixed culture polyhydroxyalkanoate ha production component characterization organic loading rate optimizationn,0.073,0.762,0.166,0.4215,positive
vinnytayversion,2022-09-16 11:49:17+00:00,2,Twitter for iPhone,taylor been wearing a lot of yellow and blue her tikhonla times lately so i decided to do the same but everyone thinks in channing university michigan because that where around clownface,en,taylor wearing lot yellow blue tikhonla time lately decided everyone think channing university michigan around clownface,0.0,1.0,0.0,0.0,neutral
hafizkenny,2022-09-14 12:50:58+00:00,6,Twitter for iPhone,breakingpresenting rock on festivalthe grand hall taylor universityth october boys like girls so one buck short and many more to announcefollower into hotfacesignofthehornslightskintone,en,breakingpresenting rock festivalthe grand hall taylor universityth october boy like girl one buck short many announcefollower hotfacesignofthehornslightskintone,0.0,0.792,0.208,0.6705,positive
edewaal,2022-09-13 08:10:16+00:00,0,LinkedIn,do you loveyourjobdid loveyouruniversitychris taylor post below got me thinking about my journeypastime un is even more challenging i know employers that will give extra presence to students who did some pastime university study…,en,loveyourjobdid loveyouruniversitychris taylor post got thinking journeypastime un even challenging know employer give extra presence student pastime university study ,0.0,0.944,0.056,0.2247,positive
Sekolahkb,2022-09-12 07:15:41+00:00,2,Twitter Web App,congratulations partypopperon behalf of kharisma banks school we would like to congratulate our students who were accepted the top university classdanish natural pratamabifapilot heal eksirtaylors universitymanagementclassofkharismabangsa,en,congratulation partypopperon behalf kharisma bank school would like congratulate student accepted top university classdanish natural pratamabifapilot heal eksirtaylors universitymanagementclassofkharismabangsa,0.0,0.556,0.444,0.9325,positive
GBI_Malaysia,2022-09-12 03:34:24+00:00,1,Twitter Web App,now happeningar lee cher was speak on the introduction to i rating tools amp green avenues taylor university students,en,happeningar lee cher speak introduction rating tool amp green avenue taylor university student,0.0,1.0,0.0,0.0,neutral
tomnookgrindset,2022-09-11 20:35:46+00:00,4,Twitter for iPhone,universities like magazines should be king people allowed to say the word with a hard r and not get criticized for it any pushback against this will turn our country intotaylor version george own animal farm,en,university like magazine king people allowed say word hard r get criticized pushback turn country intotaylor version george animal farm,0.038,0.838,0.125,0.4956,positive
tomnookgrindset,2022-09-11 20:35:35+00:00,0,Twitter for iPhone,universities like magazines should be king people allowed to say the word with a hard r and not get criticized for it any pushback against this will turn our country intotaylor version george own animal farm,en,university like magazine king people allowed say word hard r get criticized pushback turn country intotaylor version george animal farm,0.038,0.838,0.125,0.4956,positive
ICCR_KL,2022-09-11 08:40:58+00:00,1,Twitter Web App,events conducted the well explained you session for all guests and new joineesof taylor university ll malaysia,en,event conducted well explained session guest new joineesof taylor university malaysia,0.0,0.884,0.116,0.2732,positive
ICCR_KL,2022-09-11 08:40:56+00:00,0,Twitter Web App,prof dr pradeep hair vice chancellorchief academic officer of taylor universityprof neethyananthan executive dean surest human velayudhan pillar senior lecturer school hospitality tourism and,en,prof dr pradeep hair vice chancellorchief academic officer taylor universityprof neethyananthan executive dean surest human velayudhan pillar senior lecturer school hospitality tourism,0.0,0.909,0.091,0.3182,positive
ICCR_KL,2022-09-11 08:40:56+00:00,0,Twitter Web App,faculty of social sciences and leisure management taylor university were presentshe b n ready high commissioner india to malaysia ms army hiriyannaiah director nscbicc ll,en,faculty social science leisure management taylor university presentshe b n ready high commissioner india malaysia m army hiriyannaiah director nscbicc,0.0,0.898,0.102,0.3612,positive
ICCR_KL,2022-09-11 08:40:55+00:00,0,Twitter Web App,on word of augusttaylor university in association with tetani subhash chancre bone indian cultural centre high commission india celebrated international you day a theme for health and weakness humanity,en,word augusttaylor university association tetani subhash chancre bone indian cultural centre high commission india celebrated international day theme health weakness humanity,0.086,0.8,0.114,0.2263,positive
0Density,2022-09-10 18:22:13+00:00,2,Twitter Web App,today we caught up with louis louis founder of our partner broadcast elements at boothlisten to what he had say about partnership technology and latest project vortex or lab for taylor university,en,today caught louis louis founder partner broadcast element boothlisten say partnership technology latest project vortex lab taylor university,0.0,1.0,0.0,0.0,neutral
yaplipseng,2022-09-10 14:38:05+00:00,0,Instagram,congratulationsand taylor university travel tour tourism awards scars malaysia seen hotels resorts sea hospitalitytaylors university,en,congratulationsand taylor university travel tour tourism award scar malaysia seen hotel resort sea hospitalitytaylors university,0.0,0.824,0.176,0.4588,positive
vlukasl,2022-09-10 05:11:55+00:00,0,Foursquare,representing mon to give him flowers mayuniversity squaretaylors lakeside university,en,representing mon give flower mayuniversity squaretaylors lakeside university,0.0,1.0,0.0,0.0,neutral
AVITChennai,2022-09-09 10:30:15+00:00,0,Twitter Web App,the faculty of engineering amp teach vmrfdu signed an you with innovation and teachtaylor universitytula tumourmalaysia at corporate office on with augour honorable chancellor mrjsurest samuelmember board management grace occasion,en,faculty engineering amp teach vmrfdu signed innovation teachtaylor universitytula tumourmalaysia corporate office augour honorable chancellor mrjsurest samuelmember board management grace occasion,0.0,0.752,0.248,0.836,positive
themicpa,2022-09-08 13:12:57+00:00,0,Twitter for iPhone,were always proud to see micro members as strong female leaders sitting at the top their career cher cheek co of taylor university shares her inspiring career journey amp some great advice on leadership in profession read full article here,en,always proud see micro member strong female leader sitting top career cher cheek co taylor university share inspiring career journey amp great advice leadership profession read full article,0.0,0.663,0.337,0.946,positive
asiacentre_org,2022-09-08 11:04:44+00:00,2,Twitter Web App,on septemberasia centreand taylor university malaysia organised the launch of centres report youth and disinformation in strengthening electoral integrityasiacentre get,en,septemberasia centreand taylor university malaysia organised launch centre report youth disinformation strengthening electoral integrityasiacentre get,0.0,0.856,0.144,0.4939,positive
asiacentre_org,2022-09-08 02:00:10+00:00,3,Twitter Web App,happening today asia centre with the support ofwill launch its new vaseline study title youth and disinformation in malaysia strengthening electoral integrity at pm time get taylor university malaysiaregister now,en,happening today asia centre support ofwill launch new vaseline study title youth disinformation malaysia strengthening electoral integrity pm time get taylor university malaysiaregister,0.0,0.761,0.239,0.8176,positive
XavierU,2022-09-07 22:12:25+00:00,40,Twitter Web App,easier universitytwelveo’clock taylor version,en,easier universitytwelveo clock taylor version,0.0,0.517,0.483,0.4215,positive
adrianpoon_,2022-09-07 06:36:56+00:00,2,Twitter for iPhone,when i first heard of taylor university always thought the un was founded by swift,en,first heard taylor university always thought un founded swift,0.0,0.878,0.122,0.2023,positive
TessaRhinehart,2022-09-06 13:42:08+00:00,16,Twitter Web App,first a shoutout to the fantastic team working on this projectjohn kearney and his listening together projecting phil taylor lab at acadia university,en,first shoutout fantastic team working projectjohn kearney listening together projecting phil taylor lab acadia university,0.0,0.854,0.146,0.5574,positive
codyanderswift,2022-09-06 02:57:32+00:00,3,Twitter for Android,universities have college courses dedicated to taylor songwriting black when,en,university college course dedicated taylor songwriting black,0.0,0.75,0.25,0.4588,positive
EduSpiral88,2022-09-05 14:43:51+00:00,0,Twitter Web App,taylor university ranged st in malaysia with the world for hospitalvia,en,taylor university ranged st malaysia world hospitalvia,0.0,1.0,0.0,0.0,neutral
EduSpiral88,2022-09-05 14:37:56+00:00,0,Twitter Web App,malaysias taylor university school of engineering students work on via,en,malaysia taylor university school engineering student work via,0.0,1.0,0.0,0.0,neutral
EduSpiral88,2022-09-05 14:25:22+00:00,0,Twitter Web App,taylor university vortex or lab tourvia,en,taylor university vortex lab tourvia,0.0,1.0,0.0,0.0,neutral
backtofolklores,2022-09-04 19:09:41+00:00,0,Twitter Web App,i was born in the wrong generation should beenso could study taylor lyric at university like pp do with shakespeare,en,born wrong generation beenso could study taylor lyric university like pp shakespeare,0.137,0.752,0.111,-0.1531,negative
getinmypurse,2022-09-04 15:25:59+00:00,0,Twitter for iPhone,universities are opening up courses to analyze her work in a literary context amp just like emily dickinson or even shakespeare there queercoded themes taylor not discussing it pointing out is denial and measure,en,university opening course analyze work literary context amp like emily dickinson even shakespeare queercoded theme taylor discussing pointing denial measure,0.0,0.928,0.072,0.3612,positive
SharpayGrande,2022-09-04 06:19:41+00:00,0,Twitter for Android,texas university is really teaching students about taylor songwriting what us californians,en,texas university really teaching student taylor songwriting u californian,0.0,1.0,0.0,0.0,neutral
IGD_News,2022-09-03 00:51:52+00:00,25,Twitter Web App,the races are not equalequivalentjaredtaylorthe white nationalist trills costing taylor talk at as book him universities so they can guarantee police protection under threat of a lawsuitits about free speech these ideas lastly unpopular,en,race equalequivalentjaredtaylorthe white nationalist trill costing taylor talk book university guarantee police protection threat lawsuitits free speech idea lastly unpopular,0.087,0.77,0.143,0.2878,positive
MarketingEds,2022-09-02 12:50:21+00:00,0,Twitter Web App,best event by an house teamgoldoceanus media global silver bronzetaylors university marketingeventsawards,en,best event house teamgoldoceanus medium global silver bronzetaylors university marketingeventsawards,0.0,0.724,0.276,0.6369,positive
Officialtwitmra,2022-09-02 11:39:59+00:00,0,Twitter Web App,see the voices treasure hunt organized by mr and diese taylor university a great collaboration with need was successfully conducted in lalaport but binding city centre on with go for more information please click link below backhandindexpointingdown,en,see voice treasure hunt organized mr diese taylor university great collaboration need successfully conducted lalaport binding city centre go information please click link backhandindexpointingdown,0.0,0.769,0.231,0.8233,positive
JlSUNGlST,2022-09-02 10:59:15+00:00,2,Twitter for iPhone,like if she wants to be treated a fucking royal go enjoy in taylor university or sunday which are two of the most expensive universities malaysia loudlycryingface,en,like want treated fucking royal go enjoy taylor university sunday two expensive university malaysia loudlycryingface,0.0,0.801,0.199,0.7152,positive
AZVetsForward,2022-09-01 22:13:37+00:00,263,Twitter Web App,action alert were calling on all veterans to show up at thetempe camps tomorrow evening solidarity with students peacefully protesting white supremacist dared taylor lecture campsbigotry has no place arizona universities,en,action alert calling veteran show thetempe camp tomorrow evening solidarity student peacefully protesting white supremacist dared taylor lecture campsbigotry place arizona university,0.127,0.636,0.237,0.5106,positive
paullsc,2022-09-01 05:33:06+00:00,0,Twitter Web App,secondly i didn think made much impact in the weimar conducted with taylor university last toes because had to rush min aboutmind due technical complications beginning facewithdiagonalmouthhopefully students got key takeaways of my sharing expressionlessface,en,secondly think made much impact weimar conducted taylor university last toe rush min aboutmind due technical complication beginning facewithdiagonalmouthhopefully student got key takeaway sharing expressionlessface,0.0,0.922,0.078,0.4215,positive
roiquant,2022-09-01 05:06:52+00:00,2,Twitter Web App,our ceoshared latest updated ve funding benchmarks for status in a weimar he conducted with taylor university last tuesday writinghandis we apologize reporting this because noticed some types which fixed and also added few more attributes smilingface,en,ceoshared latest updated funding benchmark status weimar conducted taylor university last tuesday writinghandis apologize reporting noticed type fixed also added attribute smilingface,0.0,0.962,0.038,0.1027,positive
Roti_5252,2022-08-31 15:18:16+00:00,0,Twitter for Android,the absolute state of taylor university wife,en,absolute state taylor university wife,0.0,1.0,0.0,0.0,neutral
LookinForClues3,2022-08-30 19:24:36+00:00,0,Twitter Web App,i am from east europe as a kid never believed in myself with taylor music give learned english and how to dream dont think would become the person today if it want for her just finished university named her my biggest motivation,en,east europe kid never believed taylor music give learned english dream dont think would become person today want finished university named biggest motivation,0.0,0.867,0.133,0.5719,positive
VAULTTRACKS,2022-08-30 18:49:52+00:00,0,Twitter for iPhone,for a majority of my life taylor swift has always been constant her words have taught me so many lessons memories brought much peace taylor music impacted life that it even got in to dream university i dont think id be here with her,en,majority life taylor swift always constant word taught many lesson memory brought much peace taylor music impacted life even got dream university dont think id,0.0,0.842,0.158,0.743,positive
BN_Reddy_8888,2022-08-30 07:00:37+00:00,4,Twitter for iPhone,thank the taylor university for partneringin idy and,en,thank taylor university partneringin idy,0.0,0.737,0.263,0.3612,positive
hcikl,2022-08-30 06:35:52+00:00,4,Twitter Web App,in partnership with taylor university malaysia organised an you evening their lakeside campspresided by camp prof dr pradeep hair deputy vice chancellor amp can ,en,partnership taylor university malaysia organised evening lakeside campspresided camp prof dr pradeep hair deputy vice chancellor amp ,0.0,1.0,0.0,0.0,neutral
smf_farmasi,2022-08-30 04:05:10+00:00,0,Twitter for Android,this weimar features the executive dean of faculty health amp medical sciences from taylor university merits professor dr paraidathathu thomas sparkles,en,weimar feature executive dean faculty health amp medical science taylor university merit professor dr paraidathathu thomas sparkle,0.0,0.792,0.208,0.6124,positive
mypsa_official,2022-08-28 03:06:07+00:00,0,Twitter for iPhone,with gypsy amnomination resulteducation officercongratulations to klan lie ten from taylor university for being elected as the education officer this session confettiball,en,gypsy amnomination resulteducation officercongratulations klan lie ten taylor university elected education officer session confettiball,0.0,1.0,0.0,0.0,neutral
wrtv,2022-08-28 03:06:00+00:00,2,SocialNewsDesk,while the cruel summer is over a texas university hoping students remember what they learn in new class all too well taylor version musicalnote,en,cruel summer texas university hoping student remember learn new class well taylor version musicalnote,0.132,0.697,0.171,0.0258,positive
SweetChiffon1,2022-08-27 14:33:11+00:00,2,Twitter for Android,seeing taylor university rooms make me miss my old room at ms heartsuitheartsuithearthandslightskintone hearthandslightskintone,en,seeing taylor university room make miss old room m heartsuitheartsuithearthandslightskintone hearthandslightskintone,0.11,0.89,0.0,-0.1531,negative
Hellcat78848523,2022-08-27 01:54:46+00:00,1,Twitter for Android,plus story fromre anus taylor brother duncan and podgy basilar backing for country universities centre grant,en,plus story fromre anus taylor brother duncan podgy basilar backing country university centre grant,0.0,0.795,0.205,0.3818,positive
BusinessTodayM1,2022-08-26 02:49:50+00:00,0,WordPress.com,taylor university and sunday win seen data science explorers usenational final malaysia,en,taylor university sunday win seen data science explorer usenational final malaysia,0.0,0.743,0.257,0.5859,positive
AlreadyFound_A,2022-08-25 18:45:17+00:00,6,Twitter for Android,universities trying to study taylor artisticalso need swiftness mental behavior cut there no way a normal person would sayand easy on me flopped after breaking records left right that taylor haven break yetfacewithtearsofjoy,en,university trying study taylor artisticalso need swiftness mental behavior cut way normal person would sayand easy flopped breaking record left right taylor break yetfacewithtearsofjoy,0.119,0.801,0.08,-0.1027,negative
1035KISSFM,2022-08-25 16:57:58+00:00,4,SocialFlow,swiftness you can now study taylor songwriting at a university in texas,en,swiftness study taylor songwriting university texas,0.0,1.0,0.0,0.0,neutral
laynegrubb,2022-08-25 16:40:47+00:00,0,Twitter for iPhone,i never said they were free but all of them are a likely much better valuebetter roi than ohio university taylor alma mater with itsper year cost attendance for state residents that k degree to get job crossing kyear,en,never said free likely much better valuebetter roi ohio university taylor alma mater itsper year cost attendance state resident k degree get job crossing kyear,0.0,0.85,0.15,0.7184,positive
SaheedMueen,2022-08-25 10:05:19+00:00,0,Twitter for iPhone,a beautiful session with the new intake at taylor university malaysiahuman librarysharing my experience young ones,en,beautiful session new intake taylor university malaysiahuman librarysharing experience young one,0.0,0.782,0.218,0.5994,positive
chloe_cheeseman,2022-08-25 08:05:19+00:00,1,Twitter for Android,loved to hear a bit of tswizzle this morning cos new undergrad class on her lyric at ut austin its made my day beatingheart all ashamed swiftness know taylor got top poetry in songsnice see it recognised university level smilingfacewithsunglasses,en,loved hear bit tswizzle morning co new undergrad class lyric ut austin made day beatingheart ashamed swiftness know taylor got top poetry songsnice see recognised university level smilingfacewithsunglasses,0.069,0.804,0.127,0.3818,positive
mihas_malaysia,2022-08-25 07:35:54+00:00,3,Twitter Web App,join the taylor university videography and photography competition only at haswith theme of muslin friendly travel destination grab this opportunity showcase your talent on global stage register link in our big mihas,en,join taylor university videography photography competition haswith theme muslin friendly travel destination grab opportunity showcase talent global stage register link big mihas,0.0,0.71,0.29,0.8873,positive
freddiemathers,2022-08-24 04:11:44+00:00,837,Twitter for Android,even taylor biggest later sat up and applause this masterpiecenowyears of luxury i remember that in my university they talked about the diamond bathtubs snakes telephone it was legendary,en,even taylor biggest later sat applause masterpiecenowyears luxury remember university talked diamond bathtub snake telephone legendary,0.0,0.833,0.167,0.6369,positive
capricorngurl27,2022-08-23 20:18:56+00:00,1,Twitter Web App,make sure since they want to use taylor image garter favor among college students issue press release speaking out against building racism and the mental health of black women in honor their alum taylor haleif brochure is by university,en,make sure since want use taylor image garter favor among college student issue press release speaking building racism mental health black woman honor alum taylor haleif brochure university,0.086,0.714,0.2,0.5267,positive
OHAnetwork,2022-08-23 15:21:51+00:00,6,Twitter Web App,oh new mind grant recipient andre l taylor work was highlight this month in the university of london blow,en,oh new mind grant recipient andre l taylor work highlight month university london blow,0.0,0.766,0.234,0.5994,positive
nothaliza,2022-08-22 23:37:40+00:00,0,Twitter for iPhone,may i now offer my services to teach a literary course on taylor songwriting in some local university,en,may offer service teach literary course taylor songwriting local university,0.0,1.0,0.0,0.0,neutral
mypsa_official,2022-08-22 04:09:14+00:00,0,Twitter for iPhone,instagramtupsslinkedintaylors university pharmacy students society tupssdo help your local to stand a chance win the gypsy best awardby hitting like button on favourite post facebook and,en,instagramtupsslinkedintaylors university pharmacy student society tupssdo help local stand chance win gypsy best awardby hitting like button favourite post facebook,0.0,0.568,0.432,0.9349,positive
mypsa_official,2022-08-22 04:09:13+00:00,0,Twitter for iPhone,do you know that taylor university pharmacy students society lupus is the student organisation for school of taylor to more about smilingfacewithhearteyes kindly follow their social mediafacebooktaylors –,en,know taylor university pharmacy student society lupus student organisation school taylor smilingfacewithhearteyes kindly follow social mediafacebooktaylors ,0.0,0.882,0.118,0.5367,positive
